<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	01:21:00	1.06898	1.06898	1.06893	1.06893	2	0	204
2023.01.02	01:22:00	1.06893	1.06893	1.06893	1.06893	1	0	204
2023.01.02	01:23:00	1.06893	1.06893	1.06893	1.06893	1	0	204
2023.01.02	01:24:00	1.06893	1.06893	1.06893	1.06893	1	0	204
2023.01.02	01:25:00	1.06893	1.06893	1.06893	1.06893	1	0	204
2023.01.02	01:26:00	1.06893	1.06893	1.06893	1.06893	1	0	204
2023.01.02	01:27:00	1.06893	1.06893	1.06893	1.06893	1	0	204
2023.01.02	01:28:00	1.06893	1.06893	1.06893	1.06893	1	0	204
2023.01.02	01:29:00	1.06893	1.06893	1.06893	1.06893	1	0	204
2023.01.02	01:30:00	1.06893	1.06896	1.06893	1.06896	2	0	204
2023.01.02	01:31:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:32:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:33:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:34:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:35:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:36:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:37:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:38:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:39:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:40:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:41:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:42:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:43:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:44:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:45:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:46:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:47:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:48:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:49:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:50:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:51:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:52:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:53:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:54:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:55:00	1.06896	1.06896	1.06896	1.06896	1	0	204
2023.01.02	01:56:00	1.06896	1.06957	1.06896	1.06957	2	0	185
2023.01.02	01:57:00	1.06957	1.06957	1.06957	1.06957	1	0	185
2023.01.02	01:59:00	1.06957	1.06962	1.06957	1.06962	2	0	180
2023.01.02	02:01:00	1.06962	1.06962	1.06962	1.06962	1	0	180
2023.01.02	02:02:00	1.06962	1.06962	1.06962	1.06962	1	0	180
2023.01.02	02:07:00	1.06962	1.06962	1.06962	1.06962	1	0	180
2023.01.02	02:11:00	1.06962	1.06962	1.06962	1.06962	1	0	180
2023.01.02	02:15:00	1.06962	1.06962	1.06962	1.06962	1	0	180
2023.01.02	02:17:00	1.07016	1.07016	1.06963	1.06977	18	0	31
2023.01.02	02:18:00	1.06975	1.06984	1.06975	1.06977	13	0	28
2023.01.02	02:19:00	1.06980	1.06982	1.06942	1.06942	8	0	32
2023.01.02	02:20:00	1.06942	1.06942	1.06942	1.06942	1	0	80
2023.01.02	02:21:00	1.06942	1.06942	1.06942	1.06942	1	0	80
2023.01.02	02:24:00	1.06977	1.06998	1.06977	1.06997	16	0	7
2023.01.02	02:25:00	1.06990	1.07000	1.06981	1.06986	22	0	7
2023.01.02	02:27:00	1.06986	1.06995	1.06986	1.06991	10	0	7
2023.01.02	02:28:00	1.06990	1.06991	1.06989	1.06991	3	0	28
2023.01.02	02:29:00	1.06990	1.06991	1.06990	1.06991	2	0	29
2023.01.02	02:30:00	1.06993	1.06993	1.06986	1.06990	4	0	28
2023.01.02	02:31:00	1.06986	1.06991	1.06985	1.06990	15	0	27
2023.01.02	02:32:00	1.06985	1.06989	1.06984	1.06989	6	0	27
2023.01.02	02:33:00	1.06986	1.06989	1.06986	1.06988	8	0	27
2023.01.02	02:34:00	1.06986	1.06988	1.06985	1.06988	8	0	27
2023.01.02	02:35:00	1.06988	1.06988	1.06912	1.06923	19	0	29
2023.01.02	02:36:00	1.06926	1.06936	1.06926	1.06936	7	0	85
2023.01.02	02:39:00	1.06933	1.06936	1.06933	1.06936	2	0	86
2023.01.02	02:40:00	1.06932	1.06981	1.06925	1.06980	12	0	31
2023.01.02	02:41:00	1.06980	1.06983	1.06907	1.06912	33	0	29
2023.01.02	02:42:00	1.06913	1.06915	1.06913	1.06915	2	0	167
2023.01.02	02:43:00	1.06915	1.06915	1.06915	1.06915	1	0	167
2023.01.02	02:44:00	1.06915	1.06915	1.06915	1.06915	1	0	168
2023.01.02	02:45:00	1.06915	1.06971	1.06915	1.06957	6	0	88
2023.01.02	02:46:00	1.06957	1.06991	1.06957	1.06957	4	0	88
2023.01.02	02:47:00	1.07001	1.07008	1.06957	1.06957	6	0	88
2023.01.02	02:48:00	1.06957	1.06957	1.06957	1.06957	1	0	175
2023.01.02	02:49:00	1.06957	1.06957	1.06956	1.06957	3	0	161
2023.01.02	02:50:00	1.06957	1.06957	1.06957	1.06957	1	0	161
2023.01.02	02:51:00	1.06957	1.06957	1.06957	1.06957	1	0	176
2023.01.02	02:52:00	1.06957	1.06957	1.06957	1.06957	1	0	176
2023.01.02	02:53:00	1.06957	1.06957	1.06956	1.06957	3	0	161
2023.01.02	02:54:00	1.06957	1.06957	1.06957	1.06957	1	0	163
2023.01.02	02:55:00	1.06957	1.07044	1.06957	1.07037	10	0	88
2023.01.02	02:56:00	1.07033	1.07036	1.07031	1.07034	8	0	87
2023.01.02	02:57:00	1.07030	1.07033	1.07020	1.07020	5	0	87
2023.01.02	02:58:00	1.07020	1.07021	1.07020	1.07021	2	0	84
2023.01.02	02:59:00	1.07052	1.07058	1.07049	1.07058	16	0	47
2023.01.02	03:00:00	1.07056	1.07056	1.07030	1.07030	9	0	58
2023.01.02	03:01:00	1.07029	1.07041	1.07027	1.07027	13	0	82
2023.01.02	03:02:00	1.07027	1.07029	1.07027	1.07029	3	0	88
2023.01.02	03:03:00	1.07028	1.07029	1.07028	1.07028	5	0	84
2023.01.02	03:04:00	1.07028	1.07028	1.07027	1.07028	3	0	88
2023.01.02	03:05:00	1.07027	1.07027	1.07027	1.07027	1	0	85
2023.01.02	03:06:00	1.07027	1.07030	1.07026	1.07026	5	0	81
2023.01.02	03:07:00	1.07026	1.07073	1.07026	1.07034	5	0	27
2023.01.02	03:08:00	1.07027	1.07031	1.07027	1.07029	6	0	82
2023.01.02	03:09:00	1.07029	1.07032	1.07029	1.07032	4	0	82
2023.01.02	03:10:00	1.07031	1.07032	1.07031	1.07031	3	0	82
2023.01.02	03:11:00	1.07031	1.07031	1.07031	1.07031	1	0	88
2023.01.02	03:12:00	1.07031	1.07031	1.07031	1.07031	1	0	88
2023.01.02	03:13:00	1.07031	1.07031	1.07031	1.07031	1	0	86
2023.01.02	03:14:00	1.07031	1.07031	1.07030	1.07030	2	0	82
2023.01.02	03:15:00	1.07030	1.07030	1.07027	1.07027	2	0	77
2023.01.02	03:16:00	1.07027	1.07027	1.07026	1.07026	2	0	77
2023.01.02	03:17:00	1.07026	1.07028	1.07026	1.07028	3	0	76
2023.01.02	03:18:00	1.07028	1.07028	1.07028	1.07028	1	0	74
2023.01.02	03:19:00	1.07028	1.07028	1.07028	1.07028	1	0	80
2023.01.02	03:20:00	1.07028	1.07028	1.07028	1.07028	1	0	82
2023.01.02	03:21:00	1.07028	1.07028	1.07028	1.07028	1	0	83
2023.01.02	03:30:00	1.07053	1.07053	1.07043	1.07050	9	0	29
2023.01.02	03:31:00	1.07048	1.07050	1.07048	1.07050	2	0	30
2023.01.02	03:32:00	1.07048	1.07049	1.07045	1.07048	6	0	28
2023.01.02	03:33:00	1.07045	1.07050	1.07045	1.07048	6	0	28
2023.01.02	03:34:00	1.07043	1.07047	1.07028	1.07028	3	0	28
2023.01.02	03:35:00	1.07047	1.07047	1.07047	1.07047	1	0	30
2023.01.02	03:36:00	1.07047	1.07047	1.07047	1.07047	1	0	30
2023.01.02	03:37:00	1.07027	1.07047	1.07027	1.07047	2	0	30
2023.01.02	03:38:00	1.07047	1.07047	1.07047	1.07047	1	0	29
2023.01.02	03:40:00	1.07049	1.07049	1.07046	1.07049	6	0	29
2023.01.02	03:41:00	1.07046	1.07048	1.07046	1.07048	4	0	29
2023.01.02	03:42:00	1.07046	1.07049	1.07040	1.07046	10	0	28
2023.01.02	03:43:00	1.07045	1.07047	1.07042	1.07044	12	0	28
2023.01.02	03:44:00	1.07044	1.07044	1.06996	1.07027	21	0	23
2023.01.02	03:45:00	1.07020	1.07034	1.07016	1.07033	18	0	29
2023.01.02	03:46:00	1.07034	1.07037	1.07004	1.07005	24	0	21
2023.01.02	03:47:00	1.07006	1.07032	1.07006	1.07030	10	0	22
2023.01.02	03:48:00	1.07029	1.07033	1.07029	1.07033	7	0	21
2023.01.02	03:49:00	1.07028	1.07031	1.07026	1.07026	8	0	22
2023.01.02	03:50:00	1.07032	1.07032	1.06996	1.07023	13	0	21
2023.01.02	03:51:00	1.07021	1.07021	1.06783	1.06791	11	0	25
2023.01.02	03:52:00	1.06985	1.06993	1.06985	1.06991	6	0	83
2023.01.02	03:53:00	1.06991	1.06992	1.06991	1.06992	2	0	82
2023.01.02	03:54:00	1.06992	1.06992	1.06992	1.06992	1	0	85
2023.01.02	03:55:00	1.06993	1.06999	1.06993	1.06999	2	0	78
2023.01.02	03:56:00	1.06992	1.06992	1.06990	1.06990	2	0	81
2023.01.02	03:57:00	1.06990	1.06990	1.06990	1.06990	1	0	83
2023.01.02	03:59:00	1.06866	1.06871	1.06866	1.06871	2	0	161
2023.01.02	04:00:00	1.06871	1.06871	1.06871	1.06871	1	0	198
2023.01.02	04:01:00	1.06871	1.06871	1.06871	1.06871	1	0	197
2023.01.02	04:02:00	1.06871	1.06872	1.06871	1.06872	2	0	196
2023.01.02	04:03:00	1.06872	1.06872	1.06872	1.06872	1	0	197
2023.01.02	04:04:00	1.06872	1.06872	1.06872	1.06872	1	0	197
2023.01.02	04:05:00	1.06872	1.06872	1.06872	1.06872	1	0	194
2023.01.02	04:06:00	1.06872	1.06872	1.06872	1.06872	1	0	196
2023.01.02	04:07:00	1.06872	1.06887	1.06872	1.06872	3	0	88
2023.01.02	04:08:00	1.06872	1.06886	1.06872	1.06882	9	0	88
2023.01.02	04:09:00	1.06889	1.06890	1.06889	1.06890	2	0	81
2023.01.02	04:10:00	1.06890	1.06890	1.06751	1.06871	21	0	79
2023.01.02	04:11:00	1.06871	1.06877	1.06871	1.06875	4	0	82
2023.01.02	04:12:00	1.06874	1.06874	1.06874	1.06874	1	0	90
2023.01.02	04:13:00	1.06874	1.06874	1.06874	1.06874	1	0	86
2023.01.02	04:16:00	1.06874	1.06874	1.06874	1.06874	1	0	84
2023.01.02	04:17:00	1.06874	1.06874	1.06874	1.06874	1	0	83
2023.01.02	04:18:00	1.06874	1.06874	1.06874	1.06874	1	0	87
2023.01.02	04:19:00	1.06874	1.06874	1.06874	1.06874	1	0	88
2023.01.02	04:21:00	1.06861	1.06880	1.06851	1.06856	13	0	88
2023.01.02	04:22:00	1.06856	1.06866	1.06856	1.06866	2	0	157
2023.01.02	04:23:00	1.06866	1.06866	1.06866	1.06866	1	0	154
2023.01.02	04:24:00	1.06866	1.06866	1.06866	1.06866	1	0	160
2023.01.02	04:25:00	1.06866	1.06866	1.06866	1.06866	1	0	155
2023.01.02	04:26:00	1.06866	1.06866	1.06866	1.06866	1	0	156
2023.01.02	04:27:00	1.06866	1.06866	1.06866	1.06866	1	0	156
2023.01.02	04:28:00	1.06866	1.06866	1.06866	1.06866	1	0	157
2023.01.02	04:29:00	1.06866	1.06866	1.06866	1.06866	1	0	154
2023.01.02	04:30:00	1.06866	1.06866	1.06866	1.06866	1	0	157
2023.01.02	04:31:00	1.06866	1.06866	1.06866	1.06866	1	0	154
2023.01.02	04:32:00	1.06866	1.06866	1.06866	1.06866	1	0	157
2023.01.02	04:33:00	1.06866	1.06866	1.06866	1.06866	1	0	162
2023.01.02	04:34:00	1.06866	1.06866	1.06866	1.06866	1	0	155
2023.01.02	04:35:00	1.06866	1.06866	1.06866	1.06866	1	0	155
2023.01.02	04:36:00	1.06866	1.06866	1.06866	1.06866	1	0	156
2023.01.02	04:37:00	1.06866	1.06866	1.06866	1.06866	1	0	162
2023.01.02	04:40:00	1.06866	1.06866	1.06866	1.06866	1	0	155
2023.01.02	04:42:00	1.06866	1.06877	1.06866	1.06877	2	0	144
2023.01.02	04:43:00	1.06877	1.06877	1.06877	1.06877	1	0	144
2023.01.02	04:44:00	1.06877	1.06877	1.06877	1.06877	1	0	144
2023.01.02	04:45:00	1.06877	1.06877	1.06877	1.06877	1	0	147
2023.01.02	04:46:00	1.06877	1.06877	1.06877	1.06877	1	0	144
2023.01.02	04:47:00	1.06877	1.06877	1.06877	1.06877	1	0	147
2023.01.02	04:48:00	1.06877	1.06877	1.06877	1.06877	1	0	147
2023.01.02	04:49:00	1.06877	1.06877	1.06877	1.06877	1	0	144
2023.01.02	04:50:00	1.06877	1.06885	1.06877	1.06877	3	0	88
2023.01.02	04:51:00	1.06877	1.06877	1.06877	1.06877	1	0	146
2023.01.02	04:52:00	1.06877	1.06877	1.06877	1.06877	1	0	147
2023.01.02	04:54:00	1.06877	1.06877	1.06877	1.06877	1	0	147
2023.01.02	04:56:00	1.06877	1.06877	1.06877	1.06877	1	0	147
2023.01.02	04:57:00	1.06877	1.06902	1.06877	1.06877	4	0	88
2023.01.02	04:58:00	1.06892	1.06892	1.06877	1.06877	2	0	88
2023.01.02	04:59:00	1.06877	1.06877	1.06867	1.06877	7	0	147
2023.01.02	05:00:00	1.06877	1.06877	1.06877	1.06877	1	0	148
2023.01.02	05:03:00	1.06877	1.06877	1.06877	1.06877	1	0	144
2023.01.02	05:04:00	1.06877	1.06877	1.06877	1.06877	1	0	147
2023.01.02	05:05:00	1.06877	1.06877	1.06877	1.06877	1	0	146
2023.01.02	05:06:00	1.06877	1.06877	1.06877	1.06877	1	0	143
2023.01.02	05:07:00	1.06877	1.06877	1.06877	1.06877	1	0	143
2023.01.02	05:08:00	1.06877	1.06877	1.06877	1.06877	1	0	145
2023.01.02	05:09:00	1.06877	1.06877	1.06877	1.06877	1	0	143
2023.01.02	05:10:00	1.06877	1.06877	1.06877	1.06877	1	0	142
2023.01.02	05:11:00	1.06877	1.06877	1.06877	1.06877	1	0	147
2023.01.02	05:12:00	1.06877	1.06877	1.06877	1.06877	1	0	143
2023.01.02	05:13:00	1.06877	1.06877	1.06877	1.06877	1	0	143
2023.01.02	05:14:00	1.06877	1.06877	1.06877	1.06877	1	0	143
2023.01.02	05:15:00	1.06877	1.06877	1.06877	1.06877	1	0	143
2023.01.02	05:16:00	1.06877	1.06877	1.06877	1.06877	1	0	143
2023.01.02	05:17:00	1.06877	1.06877	1.06877	1.06877	1	0	149
2023.01.02	05:19:00	1.06877	1.06877	1.06877	1.06877	1	0	151
2023.01.02	05:20:00	1.06877	1.06877	1.06877	1.06877	1	0	152
2023.01.02	05:21:00	1.06877	1.06877	1.06877	1.06877	1	0	150
2023.01.02	05:22:00	1.06877	1.06877	1.06877	1.06877	1	0	149
2023.01.02	05:26:00	1.06877	1.06877	1.06877	1.06877	1	0	152
2023.01.02	05:32:00	1.06877	1.06877	1.06877	1.06877	1	0	152
2023.01.02	05:33:00	1.06878	1.06878	1.06878	1.06878	1	0	151
2023.01.02	05:42:00	1.06877	1.07023	1.06877	1.07019	11	0	9
2023.01.02	05:43:00	1.07019	1.07025	1.07016	1.07023	27	0	5
2023.01.02	05:44:00	1.07022	1.07026	1.06872	1.06872	7	0	5
2023.01.02	05:45:00	1.06872	1.06872	1.06872	1.06872	1	0	165
2023.01.02	05:46:00	1.06872	1.06872	1.06867	1.06867	3	0	156
2023.01.02	05:47:00	1.06867	1.06867	1.06867	1.06867	1	0	162
2023.01.02	05:50:00	1.06867	1.06867	1.06867	1.06867	1	0	162
2023.01.02	05:51:00	1.06867	1.06889	1.06867	1.06867	12	0	88
2023.01.02	05:52:00	1.06867	1.06872	1.06867	1.06872	2	0	145
2023.01.02	05:53:00	1.06872	1.06872	1.06871	1.06872	3	0	151
2023.01.02	05:54:00	1.06872	1.06872	1.06872	1.06872	1	0	155
2023.01.02	05:55:00	1.06872	1.06872	1.06872	1.06872	1	0	154
2023.01.02	05:56:00	1.06872	1.06872	1.06872	1.06872	1	0	154
2023.01.02	05:57:00	1.06872	1.06872	1.06872	1.06872	1	0	154
2023.01.02	05:59:00	1.06872	1.06872	1.06872	1.06872	1	0	159
2023.01.02	06:00:00	1.06872	1.06880	1.06872	1.06880	2	0	142
2023.01.02	06:01:00	1.06880	1.06880	1.06880	1.06880	1	0	142
2023.01.02	06:02:00	1.06880	1.06880	1.06867	1.06876	3	0	144
2023.01.02	06:03:00	1.06876	1.06906	1.06876	1.06906	2	0	88
2023.01.02	06:04:00	1.06906	1.06975	1.06906	1.06975	9	0	88
2023.01.02	06:05:00	1.06956	1.06971	1.06956	1.06968	7	0	6
2023.01.02	06:06:00	1.06970	1.06972	1.06970	1.06972	2	0	88
2023.01.02	06:10:00	1.06973	1.06976	1.06962	1.06976	7	0	88
2023.01.02	06:11:00	1.06976	1.06986	1.06976	1.06986	2	0	85
2023.01.02	06:12:00	1.06986	1.07029	1.06972	1.06986	9	0	7
2023.01.02	06:13:00	1.06986	1.06987	1.06986	1.06987	2	0	84
2023.01.02	06:14:00	1.06987	1.06991	1.06987	1.06991	3	0	84
2023.01.02	06:15:00	1.06990	1.06990	1.06978	1.06990	5	0	86
2023.01.02	06:17:00	1.06989	1.06990	1.06989	1.06990	2	0	86
2023.01.02	06:19:00	1.06990	1.06990	1.06990	1.06990	1	0	78
2023.01.02	06:20:00	1.06990	1.06990	1.06990	1.06990	1	0	79
2023.01.02	06:21:00	1.06990	1.06990	1.06990	1.06990	1	0	80
2023.01.02	06:22:00	1.06990	1.06990	1.06990	1.06990	1	0	80
2023.01.02	06:23:00	1.06990	1.06990	1.06990	1.06990	1	0	80
2023.01.02	06:24:00	1.06990	1.06990	1.06990	1.06990	1	0	80
2023.01.02	06:25:00	1.06990	1.06990	1.06990	1.06990	1	0	79
2023.01.02	06:26:00	1.06990	1.06990	1.06990	1.06990	1	0	80
2023.01.02	06:27:00	1.06990	1.06990	1.06990	1.06990	1	0	79
2023.01.02	06:29:00	1.06990	1.06990	1.06990	1.06990	1	0	79
2023.01.02	06:30:00	1.06990	1.06990	1.06978	1.06990	3	0	79
2023.01.02	06:31:00	1.06991	1.06991	1.06973	1.06973	3	0	73
2023.01.02	06:32:00	1.06975	1.06975	1.06974	1.06974	2	0	87
2023.01.02	06:58:00	1.06973	1.06973	1.06973	1.06973	1	0	88
2023.01.02	06:59:00	1.06977	1.06979	1.06972	1.06977	7	0	78
2023.01.02	07:00:00	1.06977	1.06979	1.06975	1.06979	4	0	78
